public_api_url	notebook_url	price
https://publicapi.solotodo.com/products/254048	https://www.solotodo.cl/products/254048-asus-tuf-gaming-f15-fx507vu-lp186w-90nr0cj8-m00m30-i7-12700h-16-gb-512-gb-ssd-rtx-4060-8-gb	$1.439.990
https://publicapi.solotodo.com/products/208723	https://www.solotodo.cl/products/208723-asus-vivobook-pro-15-oled-k6502vu-ma045w-90nb1131-m001w0	$1.439.990
https://publicapi.solotodo.com/products/229151	https://www.solotodo.cl/products/229151-asus-rog-zephyrus-g16-gu603vv-g16i74060-90nr0bl5-m003a0	$1.446.890
https://publicapi.solotodo.com/products/224621	https://www.solotodo.cl/products/224621-lenovo-legion-pro-5-16irx8-82wk000aus	$1.449.990
https://publicapi.solotodo.com/products/146093	https://www.solotodo.cl/products/146093-hp-elitebook-645-g9-6h5v9ls	$1.449.990
https://publicapi.solotodo.com/products/205466	https://www.solotodo.cl/products/205466-samsung-galaxy-book-odyssey-np762xda-xa3us	$1.449.990
https://publicapi.solotodo.com/products/211673	https://www.solotodo.cl/products/211673-hp-zbook-firefly-16-g9-6u7k2la	$1.452.990
https://publicapi.solotodo.com/products/128330	https://www.solotodo.cl/products/128330-apple-macbook-pro-16-late-2021-apple-silicon-m1-pro-10-core-16-gb-512-gb-ssd-space-gray-mk183cia	$1.449.990
https://publicapi.solotodo.com/products/149095	https://www.solotodo.cl/products/149095-lenovo-legion-5-15ach6h-82ju00qgcl	$1.453.990
https://publicapi.solotodo.com/products/253620	https://www.solotodo.cl/products/253620-hp-omen-16-wf0083dx	$1.459.997
https://publicapi.solotodo.com/products/226267	https://www.solotodo.cl/products/226267-dell-latitude-7440-l744i7vacrps321tbw11p3psc	$1.468.384
https://publicapi.solotodo.com/products/236701	https://www.solotodo.cl/products/236701-apple-macbook-air-13-early-2024-apple-silicon-m3-10-core-gpu-8-gb-512-gb-ssd-silver-mrxr3cia	$1.469.990
https://publicapi.solotodo.com/products/236707	https://www.solotodo.cl/products/236707-apple-macbook-air-13-early-2024-apple-silicon-m3-10-core-gpu-8-gb-512-gb-ssd-starlight-mrxu3cia	$1.469.990
https://publicapi.solotodo.com/products/252447	https://www.solotodo.cl/products/252447-hp-envy-x360-16-ac0000la-a1ud6la	$1.469.990
https://publicapi.solotodo.com/products/209449	https://www.solotodo.cl/products/209449-gigabyte-g5-kf-kf-e3us333sh	$1.119.990
https://publicapi.solotodo.com/products/245100	https://www.solotodo.cl/products/245100-lenovo-thinkpad-p14s-gen-4-amd-21k6000hcl	$1.120.251
https://publicapi.solotodo.com/products/139332	https://www.solotodo.cl/products/139332-hp-probook-440-g8-637n4lt	$1.121.030
https://publicapi.solotodo.com/products/225157	https://www.solotodo.cl/products/225157-gigabyte-g5-mf5-52la353sd	$1.122.990
https://publicapi.solotodo.com/products/133091	https://www.solotodo.cl/products/133091-hp-probook-440-g8-4s055lt	$1.124.990
https://publicapi.solotodo.com/products/150874	https://www.solotodo.cl/products/150874-lenovo-thinkpad-x1-carbon-10th-gen-21ccs2js00	$1.125.000
https://publicapi.solotodo.com/products/252001	https://www.solotodo.cl/products/252001-microsoft-surface-pro-8-graphite-eb4-00004	$1.126.160
https://publicapi.solotodo.com/products/254177	https://www.solotodo.cl/products/254177-lenovo-thinkpad-e16-gen-2-intel-21mb000kcl	$1.129.991
https://publicapi.solotodo.com/products/251041	https://www.solotodo.cl/products/251041-lenovo-thinkpad-l13-2-in-1-gen-5-intel-21lncto1wwcl1	$1.138.756
https://publicapi.solotodo.com/products/251031	https://www.solotodo.cl/products/251031-lenovo-thinkpad-l16-gen-1-amd-21l8cto1wwcl2	$1.146.031
https://publicapi.solotodo.com/products/227206	https://www.solotodo.cl/products/227206-hp-victus-15-fa0000la-80m55la	$1.144.990
https://publicapi.solotodo.com/products/148962	https://www.solotodo.cl/products/148962-hp-probook-450-g9-6c5y0lt	$1.148.450
https://publicapi.solotodo.com/products/239473	https://www.solotodo.cl/products/239473-msi-cyborg-15-a12vf-9s7-15k111-1017	$1.149.516
https://publicapi.solotodo.com/products/217897	https://www.solotodo.cl/products/217897-apple-macbook-air-late-2020-apple-silicon-m1-512-gb-space-gray-mgn63z12416512	$1.149.990
https://publicapi.solotodo.com/products/118141	https://www.solotodo.cl/products/118141-lenovo-legion-5-15ach6-82jw0012us	$1.149.990
https://publicapi.solotodo.com/products/158209	https://www.solotodo.cl/products/158209-msi-pulse-gl66-12ugkv-pulsegl6612464	$1.149.990
https://publicapi.solotodo.com/products/222650	https://www.solotodo.cl/products/222650-lenovo-thinkpad-t14s-gen-4-21f70014cl	$1.149.992
https://publicapi.solotodo.com/products/223014	https://www.solotodo.cl/products/223014-dell-g15-gaming-5530-vxm5g	$1.149.990
https://publicapi.solotodo.com/products/147952	https://www.solotodo.cl/products/147952-apple-macbook-air-2022-apple-silicon-m2-8-core-gpu-8-gb-256-gb-ssd-space-gray-mlxw3cia	$1.149.990
https://publicapi.solotodo.com/products/179256	https://www.solotodo.cl/products/179256-lenovo-ideapad-gaming-3-15iah7-82s900qpcl	$1.149.990
https://publicapi.solotodo.com/products/246113	https://www.solotodo.cl/products/246113-asus-vivobook-16x-k3605zf-mb415w-90nb11e1-m00j80	$630.490
https://publicapi.solotodo.com/products/145773	https://www.solotodo.cl/products/145773-asus-tuf-gaming-f15-fx506lhb-hn326w-90nr03u2-m007m0	$639.000
https://publicapi.solotodo.com/products/146995	https://www.solotodo.cl/products/146995-dell-vostro-3400-d2m5x	$639.859
https://publicapi.solotodo.com/products/106208	https://www.solotodo.cl/products/106208-hp-envy-13-ba1124la-2k6v7la	$638.400
https://publicapi.solotodo.com/products/140981	https://www.solotodo.cl/products/140981-dell-vostro-3405-07m12	$639.990
https://publicapi.solotodo.com/products/217376	https://www.solotodo.cl/products/217376-lenovo-v14-g3-iap-82ts00e0cl	$639.990
https://publicapi.solotodo.com/products/100485	https://www.solotodo.cl/products/100485-acer-nitro-5-an515-55-56p2-1-nhq7mal00w1	$649.990
https://publicapi.solotodo.com/products/242056	https://www.solotodo.cl/products/242056-acer-aspire-5-a515-58gm-56xx-1-nxkq4al0011	$649.990
