name	url	id	slug	picture_url	price	score_general	score_games	score_mobility	weight	power_adapter_power	operating_system_family_name	screen_size_value	screen_resolution_unicode	screen_rr_value	battery_mwh	default_bucket	processor_unicode	processor_f_value	processor_thread_count_name	processor_p_core_count	processor_thread_count	processor_tdp	processor_speed_score	main_gpu_name	main_gpu_speed_score	ram_quantity_value	ram_frequency_value	ram_type_name	sd_capacity_value	sd_rpm_value	sd_drive_type_name	storage_drives_count	gpus_count
Lenovo K14 Gen 1 (Ryzen 5 5600U / 16 GB / 512 GB SSD / W11P)	https://publicapi.solotodo.com/products/236736/	236736	lenovo-k14-gen-1-ryzen-5-5600u-16-gb-512-gb-ssd-w11p	https://media.solotodo.com/media/products/1891309_picture_1709635536.jpg	509990	314	165	523	1510	0	Windows 11	14.0	1920x1080	60	0	1891322	AMD Ryzen 5 5600U	2300	Dodeca-core	6	12	25.0	16053	AMD Radeon RX Vega 7 (Integrada)	3134	16.0	3200	DDR4	512	0	SSD	1	1
ASUS TUF Gaming F15 FX507ZC4-HN056W [90NR0GW2-M00BU0]	https://publicapi.solotodo.com/products/224207/	224207	asus-tuf-gaming-f15-fx507zc4-hn056w-90nr0gw2-m00bu0	https://media.solotodo.com/media/products/1840503_picture_1699679994.jpg	679990	337	336	340	2200	200	Windows 11	15.6	1920x1080	144	56000	1840503	Intel Core i5-12500H	1800	Hexadeca-core	4	16	45.0	21579	NVIDIA GeForce RTX 3050 (4 GB)	12674	8.0	3200	DDR4	512	0	SSD	1	2
Dell Latitude 7430 2-in-1 [L7432in1i7ADs16512W11D3PSXCTO]	https://publicapi.solotodo.com/products/186883/	186883	dell-latitude-7430-2-in-1-l7432in1i7ads16512w11d3psxcto	https://media.solotodo.com/media/products/1626624_picture_1658508895.webp	1499990	279	192	667	1220	65	Windows 10	14.0	1920x1080	60	41000	1732169	Intel Core i7-1255U	1200	Dodeca-core	2	12	15.0	13495	Intel Iris Xe Graphics G7 96EUs (Integrada)	5083	16.0	3200	DDR4	512	0	SSD	1	1
Lenovo ThinkPad P16 Gen 2 [21FB000NCL]	https://publicapi.solotodo.com/products/218690/	218690	lenovo-thinkpad-p16-gen-2-21fb000ncl	https://media.solotodo.com/media/products/1650708_picture_1665132287.webp	2799990	646	433	207	2950	230	Windows 11	16.0	2560x1600	165	0	1814382	Intel Core i7-13700HX	2100	1	8	24	55.0	33484	NVIDIA RTX 2000 Ada (8 GB)	15351	64.0	5600	DDR5	1000	0	SSD	1	2
Acer Nitro 5 AN515-46-R8RX-1	https://publicapi.solotodo.com/products/223672/	223672	acer-nitro-5-an515-46-r8rx-1	https://media.solotodo.com/media/products/1838529_picture_1699342645.jpg	799990	411	367	295	2500	0	Windows 11	15.6	1920x1080	144	57000	1838529	AMD Ryzen 7 6800H	3200	Hexadeca-core	8	16	45.0	23378	NVIDIA GeForce RTX 3050 (4 GB)	12674	16.0	4800	DDR5	512	0	SSD	1	2
HP EliteBook 845 G8 [67C89LC]	https://publicapi.solotodo.com/products/227340/	227340	hp-elitebook-845-g8-67c89lc	https://media.solotodo.com/media/products/1852631_picture_1702386542.jpg	732990	314	165	544	1370	0	Windows 11	14.0	1920x1080	60	53000	1852631	AMD Ryzen 5 5600U	2300	Dodeca-core	6	12	25.0	16053	AMD Radeon RX Vega 7 (Integrada)	3134	16.0	3200	DDR4	512	0	SSD	1	1
Apple MacBook Air (2022 / Apple Silicon M2 (8-core GPU) / 8 GB / 256 GB SSD / Silver) [MLXY3CI/A]	https://publicapi.solotodo.com/products/147953/	147953	apple-macbook-air-2022-apple-silicon-m2-8-core-gpu-8-gb-256-gb-ssd-silver-mlxy3cia	https://media.solotodo.com/media/products/1630136_picture_1659447203.jpg	999990	257	80	584	1240	30	macOS	13.6	2560x1664	60	52600	1630136	Apple M-Series M2 8-Core GPU	2424	Octa-core	4	8	20.0	15534	Apple M-Series M2 8-Core GPU (Integrada)	0	8.0	0	UMA	256	0	SSD	1	1
Lenovo LOQ 15ARP9 [83JC0054CL]	https://publicapi.solotodo.com/products/253211/	253211	lenovo-loq-15arp9-83jc0054cl	https://media.solotodo.com/media/products/1925869_picture_1718376273.jpg	1193090	489	652	313	2380	170	Windows 11	15.6	1920x1080	144	60000	1947391	AMD Ryzen 7 7435HS	3100	Hexadeca-core	8	16	45.0	25463	NVIDIA GeForce RTX 4060 (8 GB)	27681	24.0	4800	DDR5	512	0	SSD	1	1
Acer Nitro 5 AN515-51 (i5-7300HQ / 12GB / 1TB / GeForce GTX 1050 4GB)	https://publicapi.solotodo.com/products/248891/	248891	acer-nitro-5-an515-51-i5-7300hq-12gb-1tb-geforce-gtx-1050-4gb	https://media.solotodo.com/media/products/789293_picture_1533049466.jpg	429990	143	173	340	2200	0	Windows 10	15.6	1920x1080	60	57000	1930244	Intel Core i5-7300HQ	2500	Quad-core	4	4	45.0	5107	NVIDIA GeForce GTX 1050 (4 GB)	6382	12.0	2400	DDR4	1000	5400	HDD	1	2
Apple MacBook Air (Mid 2019 / 256 GB / Space Gray) [MVFJ2LL/A]	https://publicapi.solotodo.com/products/223127/	223127	apple-macbook-air-mid-2019-256-gb-space-gray-mvfj2lla	https://media.solotodo.com/media/products/971020_picture_1565344033.png	769990	88	52	697	1250	30	macOS	13.3	2560x1600	60	0	1837251	Intel Core i5-8210Y	1600	Quad-core	2	4	7.0	2905	Intel UHD Graphics 617 (Integrada)	947	8.0	2133	DDR3	256	0	SSD	1	1
HP Victus 16-R1016LA [A14LYLA]	https://publicapi.solotodo.com/products/254362/	254362	hp-victus-16-r1016la-a14lyla	https://media.solotodo.com/media/products/1956395_picture_1725886646.png	1929990	709	702	295	2330	230	Windows 11	16.1	1920x1080	144	83000	1956395	Intel Core i7-14650HX	1600	1	8	24	55.0	38238	NVIDIA GeForce RTX 4070 (8 GB)	29899	32.0	5600	DDR5	1000	0	SSD	1	2
ASUS VivoBook 15 F512JA-PH54 [90NB0QUE-M12830]	https://publicapi.solotodo.com/products/145630/	145630	asus-vivobook-15-f512ja-ph54-90nb0que-m12830	https://media.solotodo.com/media/products/1622037_picture_1657023914.webp	539990	181	92	515	1700	45	Windows 10	15.6	1920x1080	60	3700	1622037	Intel Core i5-1035G1	1000	Octa-core	4	8	15.0	7990	Intel UHD Graphics G1 (Integrada)	1443	12.0	2666	DDR4	256	0	SSD	1	1
HP Victus 15-FA0033DX	https://publicapi.solotodo.com/products/252720/	252720	hp-victus-15-fa0033dx	https://media.solotodo.com/media/products/1943882_picture_1723623779.png	699990	314	329	520	0	0	Windows 11	15.6	1920x1080	144	41000	1943882	Intel Core i5-12450H	1500	Dodeca-core	4	12	45.0	19820	NVIDIA GeForce RTX 3050 (4 GB)	12674	8.0	3200	DDR4	512	0	SSD	1	2
